date,revenue,leads,conversions,product,service,source,customer
2024-01-04,1849.12,20,0,Pro Plan,Consulting,Organic Search,Vertex Systems
2024-01-08,6388.07,17,1,Enterprise Plan,Managed Service,Cold Outreach,Vertex Systems
2024-01-08,1547.45,13,1,Pro Plan,Consulting,Partner,Frontier Labs
2024-01-10,5909.09,5,0,Enterprise Plan,Training,Cold Outreach,Beacon Health
2024-01-11,1463.71,6,1,Pro Plan,Implementation,LinkedIn,Vertex Systems
2024-01-12,539.96,15,0,Starter Plan,Support,LinkedIn,Frontier Labs
2024-01-12,1804.53,8,1,Pro Plan,Consulting,LinkedIn,BluePeak LLC
2024-01-14,1420.01,9,1,Pro Plan,Implementation,Organic Search,Sterling Finance
2024-01-23,692.11,8,1,Starter Plan,Implementation,Referral,Acme Corp
2024-02-05,583.13,8,1,Starter Plan,Implementation,Organic Search,Vertex Systems
2024-02-08,6353.87,21,1,Enterprise Plan,Support,Paid Search,BluePeak LLC
2024-02-11,1596.58,7,1,Pro Plan,Consulting,Cold Outreach,Quantum Ops
2024-02-18,646.25,10,1,Starter Plan,Support,Paid Search,Beacon Health
2024-03-01,833.36,13,0,Starter Plan,Implementation,Cold Outreach,Summit Digital
2024-03-03,8845.95,7,1,Enterprise Plan,Support,Partner,Frontier Labs
2024-03-04,376.47,14,1,Add-on: Analytics,Consulting,Referral,Sterling Finance
2024-03-12,383.27,21,1,Add-on: Analytics,Support,Paid Search,TechStart Inc
2024-03-14,2452.74,8,1,Pro Plan,Implementation,LinkedIn,Summit Digital
2024-03-18,264.51,3,0,Add-on: Support,Managed Service,Partner,Sterling Finance
2024-03-20,1882.12,20,1,Pro Plan,Consulting,Partner,Cascade Networks
2024-04-03,410.99,18,1,Add-on: Analytics,Support,Organic Search,Crestline Consulting
2024-04-04,850.7,23,0,Starter Plan,Consulting,Paid Search,TechStart Inc
2024-04-05,9398.07,16,0,Enterprise Plan,Support,Referral,Crestline Consulting
2024-04-06,2553.07,25,1,Pro Plan,Support,Paid Search,Apex Solutions
2024-04-06,2452.01,20,0,Pro Plan,Implementation,Partner,Quantum Ops
